"Settings",设置
"Signin",登录
"Signout",登出
"Signup",注册
"Save",保存
"Admin",管理
"SuperAdmin",总管理
"Links",链接

"Search",搜索

"Dashboard",仪表盘
"Link",链接
"Priority",优先级
"Name",名称

"Recent Topics",最近更新
"Site status",站点统计
"Member",用户
"Members",用户
"Nodes",节点
"Topics",话题
"Replies",回复
"Description",简介
"Website",网站
"Language",语言
"Avatar",头像
"Author",作者
"Code Block Example",代码块示例
"Choose a node",选择一个节点

"Like",喜欢
"Likes",喜欢
"Unlike",不喜欢
"Reply",回复

"Add Node",增加节点
"Edit Node",编辑节点
"Remove Node",删除节点
"Node Name",节点名
"Node Title",节点标题
"Custom Html",自定义HTML
"Create Topic",新建话题
"Move Topics To",将话题移动到

"Edit",编辑
"Remove",删除
"Deactive",封禁
"Deactived",已被封禁
"Change Role",改变身份
"Move",移动
"From",从
"To",到
"Follow",特别收听
"Unfollow",取消收听
"Move Topic",移动话题
"Created by",作者
"Created at",创建于
"Modified at",修改于
"replied at",回复于
"Join at",加入于
"Replied at",回复于
"Posted in",发表在

"Prev",上一页
"Next",下一页

"Title",标题
"Post",发布
"The title is too long",标题过长
"The content is too lang",内容过长
"The description is too lang",简介过长

"Old Password",原密码
"New Password",新密码

"Favorite It",收藏节点
"Unfavorite It",取消收藏
"Followed Members",特别收听
"View It",查看节点
"Liked Topics",喜爱主题
"Favorite Nodes",收藏节点

"Notifications",提醒
"unread notification",未读提醒

"Username",用户名
"Password",密码
"Confirm",确认
"Email",邮箱

"More",查看更多
"Total %s",共计%s条
"Clear",清空
"in",在
"mentioned you",中提到了你
"unread",未读

"This node name is already registered",该节点名已注册
"This node title is already registered",该节点标题已注册
"Saved successfully",保存成功
"Removed successfully",删除成功
"Moved successfully",移动成功
"Will be same as the name by default",默认将与节点名相同

"Are you human?",非人哉！
"Only English characters and digits are accepted.",只允许填写英文字符和数字
"Password doesn't match",密码不匹配
"Please fill the required field", 请填写所有必填项
"Username is invalid",用户名不正确
"Not a valid email address",邮箱格式不正确
"This username is already registered",该用户名已注册
"This email is already registered",该邮箱已注册
"Invalid account or password",账户或密码错误
"Invalid password",密码错误
"Your account has been deactived",你的账号已被封禁

"Already have an account?",已有账户？
"Don't have an account?",还没有账户？

"Change your avatar at Gravatar",在Gravatar更改头像
